hz,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,Marker
24,0.0012405572748715626,-0.0011057023563514766,-0.00168830405220094,-3.88036027283372e-05,-0.005123197920730409,-0.0025928947388487917,-6.065111252713778e-06,-0.0030245393522174793,-0.004051341582633715,-0.004401492422532342,-0.0012553151995676826,-0.0025574946884528026,-0.0019352609826557446,-0.0013372987335604622,-0.0006810440663076321,REST
25,0.001212784256967216,-0.0011206093394971809,-0.0017048797701894889,-5.349792891453861e-05,-0.005160603337504886,-0.0025907943630490335,-1.347952791508789e-05,-0.0030526561388523736,-0.004065376767930932,-0.004445367812385383,-0.0012786704029809893,-0.002571026973560554,-0.0019594386432960275,-0.0013556431249261655,-0.0006835001342246016,REST
26,0.0011842018781935005,-0.0011351566915622942,-0.001721087045783432,-6.861839200034223e-05,-0.005196491672742675,-0.002588055515203261,-2.1385996060924943e-05,-0.003079859435719538,-0.004078591124185096,-0.0044882254848716404,-0.0013016876865973121,-0.002583965644051756,-0.00198318984050271,-0.001373496890902894,-0.0006858074368294746,REST
27,0.0011548229743662106,-0.0011493396807170735,-0.0017369202813527634,-8.413604522904074e-05,-0.005230847167384019,-0.0025846833239186887,-2.9771058653622266e-05,-0.0031061347823921706,-0.004090983808215297,-0.0045300478043857175,-0.001324352796568905,-0.002596305820785093,-0.0020065056735210874,-0.0013908491999189622,-0.0006879782305443895,REST
28,0.0011246607357641098,-0.001163154000363011,-0.0017523743871207648,-0.00010002151801484548,-0.005263655343325675,-0.0025806832668208743,-3.8620347891874494e-05,-0.0031314685061682944,-0.004102554491962554,-0.004570817890516864,-0.0013466522257065145,-0.0026080433246642213,-0.002029377902798813,-0.0014076899980397886,-0.0006900247984038162,REST
29,0.0010937287101902445,-0.00117659577651763,-0.0017674447772015435,-0.00011624505268640207,-0.005294903023482192,-0.0025760611646863424,-4.7918630260156765e-05,-0.00315584774043507,-0.004113303355781623,-0.004610519641410356,-0.0013685732079050583,-0.00261917466946821,-0.002051798949352042,-0.001424010016224414,-0.0006919594507292322,REST
30,0.0010620408056804859,-0.0011896615746789922,-0.0017821273651624342,-0.00013277654068710233,-0.005324578350509174,-0.002570823175382602,-5.7649851054674924e-05,-0.003179260442213882,-0.004123231081406572,-0.0046491377563778165,-0.0013901037117627897,-0.002629697054016212,-0.002073761893446027,-0.0014398007766540368,-0.0006937945257076567,REST
31,0.0010296112928537236,-0.0012023484061618635,-0.0017964185591166828,-0.00014958555770478138,-0.005352670804167472,-0.0025649757876207054,-6.77971783675187e-05,-0.003201695408865935,-0.004132338844598391,-0.004686657757731496,-0.001411232433402946,-0.002639608353674182,-0.002095260472591433,-0.001455054598122925,-0.0006955423898740004,REST
32,0.0009964548068984935,-0.0012146537338982143,-0.0018103152563522665,-0.00016664139675416916,-0.005379171217308697,-0.0025585258145256052,-7.834304653986976e-05,-0.003223142293939141,-0.004140628307483503,-0.004723066011818333,-0.001431948788507745,-0.0026489071112120307,-0.0021162890788584184,-0.0014697646004831937,-0.0006972154384973415,REST
33,0.0009625863491912849,-0.0012265754776953322,-0.0018238148375032386,-0.0001839130976916579,-0.005404071790463966,-0.0025514803870296037,-8.926919913464503e-05,-0.0032435916221380343,-0.00414810161059174,-0.004758349749230646,-0.0014522429035756057,-0.002657592527020334,-0.0021368427555112967,-0.0014839247081361341,-0.0006988260958714486,REST
